Price,Adj Close,Close,High,Low,Open,Volume
Ticker,IBM,IBM,IBM,IBM,IBM,IBM
Date,,,,,,
12-04-2016,96.95304108,143.0497131,143.508606,142.0458832,143.0305939,3761207
13-04-2016,97.98974609,144.5793457,144.5793457,143.0497131,144.1204529,3314146
14-04-2016,97.94435883,144.5124207,146.0420685,143.7667236,144.8374786,3322619
15-04-2016,98.30724335,145.0478058,145.411087,144.321228,144.3977051,3825850
18-04-2016,98.83209991,145.8221741,146.4053497,144.8279114,145.0478058,6884458
19-04-2016,93.30506897,137.6672974,140.4875793,136.3384247,140.0286865,13796949
20-04-2016,94.67221069,139.6845093,140.7265778,137.6672974,137.8967438,7064998
21-04-2016,96.73919678,142.7342224,143.518158,140.0191193,140.1338501,6294514
22-04-2016,96.22084808,141.9694061,144.3594666,141.013382,142.8680725,5430727
25-04-2016,96.42170715,142.2657776,142.3518219,140.6405334,141.6443634,2979949
26-04-2016,96.59667206,142.5238953,143.2026825,141.3957977,142.1128082,3116871
27-04-2016,97.49729919,143.8527679,144.1491394,142.4187317,142.7820282,3254315
28-04-2016,95.29426575,140.6022949,143.575531,140.2772522,143.1644287,3965909
29-04-2016,94.5620575,139.5219879,140.8604279,137.8489532,140.0478058,4420187
02-05-2016,94.12796021,138.8814545,140.5353699,138.0783997,140.1147156,3663510
03-05-2016,93.38929749,137.7915802,138.5277252,136.6156769,138.2887115,3749178
